store,product,type,promotion,validity,ori price,promo price
Tesco,Muller Corner Toffee Hoops Yogurt 124G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Cathedral City Mature Cheddar 350G,Mature Cheddar Cheese,£3.20 Clubcard Price,Offer valid for delivery from 15/06/2022 until 04/07/2022,3.6,3.2
Tesco,Tesco Egg Noodles 300G,Stir Fry Noodles,"Stir Fry Meal Deal for £2.50 Clubcard Price - Buy 1 Stir Fry Vegetable, 1 Noodle & 1 Sauce",Offer valid for delivery from 01/06/2022 until 26/09/2022,0.87,0.87
Tesco,Tesco Large Flat Mushrooms 250G,Large & Flat Mushrooms,79p Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,1.0,1.0
Tesco,Cravendale Filtered Whole Milk 2 Litre,Whole Milk,Any 2 for £4 Clubcard Price - Selected Dairy Products 2 Litre,Offer valid for delivery from 16/06/2022 until 05/07/2022,2.25,2.25
Tesco,Muller Rice Low Fat Original Pudding 170G,Rice Pudding,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Big & Fresh Mixed Sized Eggs 10 Pack,Mixed Weight Eggs,£1.65 Clubcard Price,Offer valid for delivery from 15/06/2022 until 03/07/2022,1.9,1.65
Tesco,Muller Rice Low Fat Strawberry Pudding 170G,Rice Pudding,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Pepsi Max 8X330ml,Sugar Free Cola,Any 2 for £5 Clubcard Price - Selected Pepsi Diet Or Pepsi Max 8x330ml,Offer valid for delivery from 15/06/2022 until 28/06/2022,3.5,3.5
Tesco,Tesco Prime Cuts Lean Ham On The Bone 125G,Cooked Ham,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Muller Corner Red Cherry Yogurt 136G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Fridge Raiders Roast Chicken Bites 3X22.5G,Chicken Snack Bites,£1.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,1.6,1.0
Tesco,Richmond 8 Thick Pork Sausages 410G,Pork Sausages,£1.75 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.25,1.75
Tesco,Peperami Original 5 Pack 5X22.5G,Salami & Meat Snacks,£2.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.3,2.0
Tesco,Tesco Finest Spanish Chorizo Ring 225G,Chorizo,£2.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.5,2.0
Tesco,Tesco Sirloin Steak 227G,Beef Steaks,Any 2 for £8 Clubcard Price - Selected Tesco Ready To Cook & Bbq Products 180g - 1120g,Offer valid for delivery from 15/06/2022 until 05/07/2022,4.3,4.3
Tesco,Tesco Extra Mature Grated Cheddar 250G,Grated Cheddar Cheese,Any 2 for £3.50 Clubcard Price - Selected Tesco Or Cathedral City Cheddar Slices 150g - 250g,Offer valid for delivery from 15/06/2022 until 26/07/2022,2.0,2.0
Tesco,Tesco British Diced Chicken Breast 650G,Diced Chicken & Mini Fillets,£4.35 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,4.85,4.35
Tesco,Maryland Cookies Chocolate Chip Minis 6 Bags 118.8G,Mini Biscuits,90p Clubcard Price,Offer valid for delivery from 06/06/2022 until 26/06/2022,1.0,1.0
Tesco,Tesco British Roast Turkey 125G,Roast Turkey Slices,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Muller Rice Low Fat Vanilla Custard Pudding 170G,Rice Pudding,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Ritz Crackers 200G,Nibbles & Bites,£1.00 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.2,1.0
Tesco,Muller Light Banana Custard Yogurt 160G,Fat Free Yoghurts,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Tesco Beef Ribeye Steak 227G,Beef Steaks,Any 2 for £8 Clubcard Price - Selected Tesco Ready To Cook & Bbq Products 180g - 1120g,Offer valid for delivery from 15/06/2022 until 05/07/2022,4.3,4.3
Tesco,Arla Protein Strawberry 200G,High Protein Yoghurt,Any 4 for £3 Clubcard Price - Selected Dairy Products 135g - 200g,Offer valid for delivery from 15/06/2022 until 05/07/2022,1.25,1.25
Tesco,Tesco Drained Tuna Steak In Sunflower Oil 110G,Tinned Tuna In Oil,Any 3 for £3 Clubcard Price - Selected Tesco Drained Tuna Steak 110g,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.25,1.25
Tesco,Muller Corner Strawberry Yogurt & Shortcake Balls 124G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Walkers Salt & Vinegar Crisps 6X25g,Salt & Vinegar Multipack Crisps & Snacks,£1.35 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.65,1.35
Tesco,Pringles Original 200G,Sharing Crisps In A Tube,£1.65 Clubcard Price,Offer valid for delivery from 30/05/2022 until 19/06/2022,2.0,1.65
Tesco,Pringles Sour Cream & Onion 200G,Sharing Crisps In A Tube,£1.65 Clubcard Price,Offer valid for delivery from 30/05/2022 until 19/06/2022,2.0,1.65
Tesco,Muller Rice Low Fat Apple Pudding 170G,Rice Pudding,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Tesco British Medium Grated Cheddar 250G,Grated Cheddar Cheese,Any 2 for £3.50 Clubcard Price - Selected Tesco Or Cathedral City Cheddar Slices 150g - 250g,Offer valid for delivery from 15/06/2022 until 26/07/2022,2.0,2.0
Tesco,Tesco Baby Potatoes With Herb Butter 360G,Prepared Potatoes,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vegetables 80g - 800g,Offer valid for delivery from 10/05/2022 until 26/09/2022,1.0,1.0
Tesco,Muller Light Vanilla Dark Chocolate Yogurt 160G,Fat Free Yoghurts,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Tesco Finest Mixed Baby Tomatoes 250G,Baby & Cherry Tomatoes,£1.30 Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,1.7,1.3
Tesco,Tesco Drained Tuna Steak In Brine 110G,Tinned Tuna In Brine,Any 3 for £3 Clubcard Price - Selected Tesco Drained Tuna Steak 110g,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.25,1.25
Tesco,Tesco Finest Wiltshire Crumbed Ham 125G,Crumbed Ham,£2.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.85,2.0
Tesco,Walkers Prawn Cocktail Crisps 6X25g,Prawn Cocktail Multipack Crisps & Snacks,£1.35 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.65,1.35
Tesco,Tesco Finest Honey Roast Ham 125G,Honey Roast Ham,£2.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.85,2.0
Tesco,Tesco Blackberries 150G,Blackberries,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.0,2.0
Tesco,Tesco Mature 10 Cheddar Slices 250G,Mature Cheddar Cheese,Any 2 for £3.50 Clubcard Price - Selected Tesco Or Cathedral City Cheddar Slices 150g - 250g,Offer valid for delivery from 15/06/2022 until 26/07/2022,2.0,2.0
Tesco,Weetabix 48Pk,Wheat Biscuits Cereal,£4.00 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,5.0,4.0
Tesco,Tesco Finest Prosecco Doc 75Cl,Prosecco,£7.50 Clubcard Price,Offer valid for delivery from 14/06/2022 until 27/06/2022,8.5,7.5
Tesco,Tesco Organic Houmous 200G,Houmous,Any 2 for £2 Clubcard Price - Selected Tesco Dips 163g - 211g,Offer valid for delivery from 11/05/2022 until 11/09/2022,1.2,1.2
Tesco,Ginsters Large Cornish Pasty 227G,Pasties & Slices,£1.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,1.5,1.0
Tesco,Tesco 6 Pack Sausage Rolls 360G,Sausage Rolls,£1.30 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,1.75,1.3
Tesco,Diet Coke Fridgepack 10 X 330Ml,Sugar Free Cola,Any 2 for £7 Clubcard Price - Selected Diet Coke Or Zero Drinks 10x330ml,Offer valid for delivery from 01/06/2022 until 21/06/2022,4.19,4.19
Tesco,Tesco British Chicken Breast Mini Fillets 400G,Diced Chicken & Mini Fillets,£3.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,3.4,3.0
Tesco,Diet Coke Caffeine Free 2 Litre,Sugar Free Cola,"Any 2 for £3 Clubcard Price - Selected Diet Coke, Coke Zero, Fanta Or Dr Pepper Drinks 2 Litre",Offer valid for delivery from 20/04/2022 until 21/06/2022,1.77,1.77
Tesco,Tesco Crispy Slices 350G,Prepared Potatoes,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vegetables 80g - 800g,Offer valid for delivery from 10/05/2022 until 26/09/2022,1.5,1.5
Tesco,Tesco Pork Lean Mince 5% Fat 500G,Pork Mince & Casserole,£2.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.5,2.0
Tesco,Pepsi Max Cherry 2L,Sugar Free Cola,Any 2 for £3 Clubcard Price - Selected Pepsi Max Or Pepsi Diet 2 Litre,Offer valid for delivery from 11/05/2022 until 21/06/2022,1.75,1.75
Tesco,Tesco British Pork Wafer Thin Oak Smoked Ham 125G,Wafer Thin Ham,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Arla Protein Raspberry 200G,High Protein Yoghurt,Any 4 for £3 Clubcard Price - Selected Dairy Products 135g - 200g,Offer valid for delivery from 15/06/2022 until 05/07/2022,1.25,1.25
Tesco,Tesco Finest Smoked Dry Cure Back Bacon 8 Rashers 240G,Bacon Rashers,£2.25 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.75,2.25
Tesco,Tesco Finest 6 Pork & Caramelised Onion Sausages 400G,Pork Sausages,£2.25 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.75,2.25
Tesco,Tesco Tenderstem & Mixed Vegetables 160G,Prepared Mixed Vegetables,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vegetables 80g - 800g,Offer valid for delivery from 10/05/2022 until 26/09/2022,1.75,1.75
Tesco,Tesco Tzatziki Dip 200G,Creamy Dips & Tzatziki,Any 2 for £2 Clubcard Price - Selected Tesco Dips 163g - 211g,Offer valid for delivery from 11/05/2022 until 11/09/2022,1.2,1.2
Tesco,Muller Light Rhubarb Crumble & Custard Yogurt 160G,Fat Free Yoghurts,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Birds Eye Garden Peas 800G,Frozen Garden Peas,£2.00 Clubcard Price,Offer valid for delivery from 07/06/2022 until 27/06/2022,2.3,2.0
Tesco,Warburtons 6 Brown Sandwich Thins,Sandwich Thins,£1.00 Clubcard Price,Offer valid for delivery from 06/06/2022 until 26/06/2022,1.2,1.0
Tesco,Clover Lighter Spread 500G,Buttery Spread & Margarine,£1.50 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.0,1.5
Tesco,Proper Chips Bbq Lentil Chips 5X14g,Meaty Multipack Crisps & Snacks,£1.25 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.7,1.25
Tesco,Tesco Vegetable Stir Fry 320G,Stir Fry Vegetables,"Stir Fry Meal Deal for £2.50 Clubcard Price - Buy 1 Stir Fry Vegetable, 1 Noodle & 1 Sauce",Offer valid for delivery from 01/06/2022 until 26/09/2022,1.1,1.1
Tesco,Frubes Strawberry Red Berry & Peach Yogurts 9X37g,Kids Yoghurt Tubes,£1.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.0,1.0
Tesco,Mcvitie's Jaffa Cakes Triple Pack 30 Cakes,Jaffa Cakes,£1.75 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,2.5,1.75
Tesco,Nestle Aero Chocolate Mousse 4 Pack 236G,Chocolate Mousse,£1.00 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,1.5,1.0
Tesco,Old Jamaica Ginger Beer 330Ml,African & Caribbean Soft Drinks,Any 3 for £1 Clubcard Price - Caribbean Canned Drinks 330ml,Offer valid for delivery from 11/05/2022 until 10/08/2022,0.4,0.4
Tesco,Walkers Quavers Cheese 12X16g,Cheese Multipack Crisps & Snacks,£2.25 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,2.5,2.25
Tesco,Tesco Guacamole 163G,Smashed Avocado & Guacamole,Any 2 for £2 Clubcard Price - Selected Tesco Dips 163g - 211g,Offer valid for delivery from 11/05/2022 until 11/09/2022,1.2,1.2
Tesco,Yorkshire 80 Teabags 250G,Everyday Tea Bags,£2.00 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,3.0,2.0
Tesco,Andrex Toilet Tissue Gentle Clean 24 Roll,Standard Toilet Roll 16 Roll +,£9.80 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,11.25,9.8
Tesco,Tesco 50% Reduced Fat Mature Grated Cheese 250G,Grated Cheddar Cheese,Any 2 for £3.50 Clubcard Price - Selected Tesco Or Cathedral City Cheddar Slices 150g - 250g,Offer valid for delivery from 15/06/2022 until 26/07/2022,2.0,2.0
